Concurso,Data Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15
54,38264,22,8,12,9,21,5,20,4,24,2,7,6,14,16,18
55,38271,4,6,12,15,2,3,13,16,8,9,7,25,5,18,19
56,38278,19,1,5,14,16,15,17,2,13,22,20,12,23,9,24
57,38285,25,17,8,11,3,6,19,22,21,7,20,1,4,12,2
58,38292,20,14,11,13,19,18,15,16,5,3,6,12,17,22,4
59,38299,6,8,14,1,23,20,3,15,25,11,5,7,13,10,19
60,38307,17,22,16,5,3,2,18,8,25,11,1,19,4,23,24
61,38313,4,15,1,23,9,14,12,11,13,19,25,16,22,5,20
62,38320,9,7,1,13,20,11,3,17,25,8,14,16,15,18,24
63,38327,13,19,22,17,10,4,25,9,24,8,16,11,21,12,20
64,38334,13,1,10,6,25,23,14,9,7,2,18,8,20,3,17
65,38341,23,19,10,7,1,17,4,2,22,16,21,15,20,18,25
66,38348,8,10,23,17,11,20,2,14,21,22,15,16,24,4,1
67,38355,7,24,13,20,16,5,21,12,11,8,15,22,23,10,9
68,38362,9,1,25,16,6,3,5,22,7,12,8,10,2,17,23
69,38369,23,7,11,15,4,17,20,8,9,24,1,18,21,10,19
70,38376,14,5,9,24,6,15,12,19,20,1,2,25,16,10,3
71,38383,13,3,22,5,1,21,23,6,8,11,15,18,14,16,9
72,38392,2,16,5,25,23,11,18,13,24,15,1,7,8,12,17
73,38397,25,17,18,2,16,19,15,13,14,5,21,11,7,1,10
74,38404,8,25,3,1,2,22,16,4,5,15,6,18,13,23,11
75,38411,10,8,3,16,7,25,20,4,13,6,11,15,17,5,1
76,38418,15,5,12,10,19,16,21,17,25,9,13,1,23,8,3
77,38425,6,20,4,9,11,17,3,8,2,21,24,14,22,25,18
78,38432,15,5,17,23,1,8,7,20,16,6,12,18,3,2,13
79,38439,15,14,17,2,22,24,5,23,20,9,12,18,25,1,3
80,38446,17,22,25,7,20,3,18,10,4,1,14,9,2,5,15
81,38453,13,2,7,19,17,15,1,4,6,21,3,11,5,16,10
82,38460,4,8,19,12,23,17,13,20,1,18,6,15,5,22,9
83,38467,23,10,25,20,14,3,1,6,2,11,8,13,12,24,5
84,38474,15,22,8,25,6,4,16,1,2,24,19,20,17,23,12
85,38481,1,2,11,21,16,8,23,7,18,22,14,15,5,13,9
86,38488,13,19,12,18,5,6,9,24,23,4,17,8,25,2,14
87,38495,11,3,18,25,5,24,13,8,15,10,9,22,1,2,20
88,38502,8,10,18,24,11,1,17,2,25,9,14,19,12,4,5
89,38509,23,16,1,12,21,25,17,19,13,20,24,15,6,11,22
90,38516,22,10,11,8,17,20,23,3,21,1,15,25,2,12,24
91,38523,16,23,1,25,22,14,9,13,11,10,12,15,4,20,17
92,38530,17,6,4,1,8,15,2,19,14,13,12,18,21,24,22
93,38537,4,24,7,17,9,13,18,20,5,6,10,21,2,19,23
94,38544,21,9,13,12,11,15,4,22,24,16,8,18,23,2,17
95,38551,10,4,18,22,1,3,20,19,17,2,15,5,11,12,14
96,38558,9,17,24,6,16,10,23,18,14,19,4,3,12,21,22
97,38566,4,10,13,22,17,3,23,24,12,14,15,25,19,20,6
98,38572,24,17,15,25,8,18,22,6,1,11,23,20,5,2,10
99,38579,4,7,24,25,20,14,1,2,10,16,17,11,21,13,3
100,38586,11,22,14,25,10,8,23,13,4,16,17,9,3,12,1
101,38593,7,6,14,19,13,3,21,23,1,24,16,17,9,20,10
102,38600,19,4,22,1,7,23,10,25,21,11,18,2,3,9,12
103,38607,23,18,1,7,5,22,2,3,25,10,4,17,8,16,11
104,38614,6,5,22,24,19,16,11,14,21,13,15,25,7,18,10
105,38621,8,7,10,12,25,9,15,22,19,6,11,13,4,17,21
106,38628,5,15,3,1,4,13,22,2,25,6,10,17,14,23,12
107,38635,24,4,7,17,21,12,15,3,25,11,1,18,6,8,9
108,38642,9,15,25,14,16,2,8,11,12,7,1,22,4,23,18
109,38649,9,7,23,1,11,25,18,13,20,3,21,5,24,16,12
110,38656,23,20,3,6,5,1,4,25,12,13,21,17,22,14,19
111,38663,10,1,19,21,25,17,12,5,11,15,13,24,6,18,22
112,38670,20,10,2,6,19,21,18,3,17,11,1,14,4,15,23
113,38677,6,14,24,2,19,5,12,8,20,21,4,11,1,13,25
114,38684,20,3,22,9,6,2,14,1,10,25,24,11,21,8,7
115,38691,4,17,5,16,6,11,20,9,12,21,25,7,13,1,18
116,38698,11,13,18,10,25,23,16,1,14,2,19,21,12,9,20
117,38705,14,20,5,11,9,23,18,17,6,13,25,15,7,12,10
118,38713,24,15,21,22,18,4,14,13,19,6,12,2,23,8,5
119,38719,15,1,21,22,9,4,18,6,24,20,23,11,8,10,17
120,38726,3,8,19,7,20,16,15,13,12,11,1,24,18,21,5
121,38733,17,24,25,23,7,2,4,5,11,10,9,1,18,16,12
122,38740,5,22,2,10,13,15,9,20,4,25,1,18,23,17,8
123,38747,20,13,21,6,18,5,4,7,17,24,19,12,23,11,22
124,38754,19,9,2,6,24,7,20,16,15,3,25,14,4,18,21
125,38761,10,22,7,6,12,16,11,21,4,9,24,3,2,25,15
126,38768,7,22,18,8,13,25,16,1,21,4,24,14,3,2,6
127,38777,5,25,4,1,13,2,12,18,22,19,23,7,3,10,11
128,38782,17,2,14,21,3,23,6,15,13,11,4,16,19,25,20
129,38789,5,11,9,22,6,21,7,19,2,20,15,23,18,25,13
130,38796,15,19,6,4,24,2,17,25,13,23,10,12,5,3,9
131,38803,2,25,20,12,5,7,6,11,13,19,8,4,15,22,23
132,38810,9,25,14,11,7,15,1,22,16,4,5,17,3,10,23
133,38817,18,22,9,3,15,20,8,21,4,19,13,1,11,23,5
134,38824,12,16,5,7,11,19,8,25,22,17,14,1,3,10,13
135,38831,7,22,13,2,21,14,19,8,1,25,20,10,15,18,5
136,38839,1,2,23,12,17,21,5,22,9,15,24,14,13,6,3
137,38845,18,6,19,25,11,8,17,20,16,10,2,21,12,9,13
138,38852,15,7,16,17,8,24,22,2,3,13,11,5,21,25,4
139,38859,22,24,23,12,1,15,7,14,21,16,17,2,9,18,19
140,38866,12,10,19,1,25,22,15,6,2,24,13,20,9,18,3
141,38873,18,12,19,3,8,17,13,1,25,20,10,16,9,24,7
142,38880,1,18,19,5,23,7,6,16,17,24,15,9,22,4,2
143,38887,21,11,22,9,24,8,17,15,25,1,16,23,13,19,2
144,38894,12,17,1,2,21,4,14,22,9,24,20,7,19,11,25
145,38901,14,15,20,22,13,10,25,11,18,9,24,2,3,1,17
146,38908,17,22,12,2,11,5,24,10,14,13,25,16,1,23,8
147,38915,2,5,12,13,21,23,22,11,1,10,6,25,4,19,16
148,38922,5,22,24,2,1,12,8,21,16,25,20,9,13,4,17
149,38930,24,19,2,17,16,9,25,5,20,18,13,10,15,23,7
150,38936,21,7,11,5,8,19,1,25,6,22,24,14,23,9,3
151,38943,18,10,13,11,3,9,12,4,23,7,24,16,14,5,20
152,38950,23,3,25,6,19,22,24,15,7,17,8,13,20,4,5
153,38957,13,21,5,25,8,20,23,12,11,4,1,18,2,24,17
154,38964,18,9,16,5,15,24,23,10,1,11,14,6,13,3,2
155,38971,15,10,16,14,8,11,19,2,21,20,18,4,5,22,24
156,38978,3,8,9,15,13,10,12,4,23,20,22,1,19,11,14
157,38985,10,14,2,18,25,9,21,7,24,1,16,6,4,12,19
158,38992,11,15,22,17,12,23,2,7,16,18,19,9,20,10,8
159,38999,11,2,1,3,17,15,25,10,24,14,4,6,8,5,20
160,39006,15,14,3,12,16,24,19,21,20,17,10,4,9,1,11
161,39009,21,24,1,8,20,17,25,18,11,5,15,23,22,16,13
162,39013,3,1,12,6,20,11,5,16,24,2,8,23,13,4,18
163,39016,21,3,14,6,2,1,25,9,15,13,20,24,23,7,5
164,39020,1,11,14,5,15,10,2,6,21,18,3,24,8,23,22
165,39024,9,1,19,13,14,4,12,15,25,2,22,8,18,17,6
166,39027,18,3,9,21,19,22,8,15,10,23,14,2,20,4,13
167,39030,18,10,1,13,19,9,16,14,24,2,6,3,22,8,23
168,39034,1,7,20,4,19,12,24,3,15,17,16,2,10,23,22
169,39037,4,16,24,6,8,11,15,10,1,21,5,12,9,7,20
170,39042,7,22,25,4,13,23,6,5,1,20,3,10,18,8,16
171,39044,24,3,25,10,17,13,16,22,15,4,1,23,12,11,21
172,39048,2,18,9,11,7,13,6,1,4,25,12,20,21,22,10
173,39051,2,5,11,23,22,15,8,24,20,21,19,3,7,4,25
174,39055,4,7,13,23,10,20,2,9,1,15,24,17,12,25,11
175,39058,7,11,2,14,18,5,21,19,16,3,15,12,24,13,6
176,39062,12,25,15,21,10,4,24,16,11,13,18,2,22,17,23
177,39065,24,16,11,13,6,19,2,17,7,8,15,20,10,23,21
178,39069,6,3,21,25,10,20,19,23,9,4,8,2,24,16,14
179,39072,2,15,17,3,22,19,14,7,23,25,5,4,24,9,13
180,39077,2,4,11,20,17,25,24,7,1,5,3,10,15,6,8
181,39079,1,16,22,5,20,7,23,8,15,4,6,14,17,19,21
182,39084,11,22,8,19,17,3,2,14,25,9,7,21,13,23,4
183,39086,8,7,6,13,23,11,19,21,16,25,14,20,24,2,4
184,39090,3,17,7,23,11,15,8,1,19,21,25,16,18,9,10
185,39093,20,19,25,6,1,15,23,8,12,9,11,4,7,2,17
186,39097,16,25,23,22,13,5,6,19,24,17,2,18,4,11,12
187,39100,21,25,12,1,16,3,13,24,11,17,19,15,23,22,18
188,39104,16,19,20,10,25,24,22,8,13,5,11,23,21,2,3
189,39107,9,13,5,18,23,19,16,22,1,2,7,4,20,6,24
190,39111,16,11,13,15,23,24,8,1,5,18,4,19,3,7,14
191,39114,23,9,18,5,19,20,8,2,22,10,13,21,15,17,12
192,39118,24,11,1,13,3,6,16,4,15,22,2,23,14,5,21
193,39121,14,16,21,2,9,19,20,3,4,10,25,1,15,5,8
194,39125,23,14,22,25,12,18,8,9,13,15,2,21,17,7,10
195,39128,4,3,14,22,19,17,9,12,18,7,23,8,11,2,6
196,39135,22,24,10,15,16,25,20,14,17,5,2,4,23,19,3
197,39139,9,13,23,20,3,6,10,5,22,4,8,12,7,18,21
198,39142,25,1,6,2,13,7,18,21,14,4,15,20,5,17,16
199,39146,23,2,6,11,22,20,4,3,15,5,1,9,21,12,19
200,39149,16,8,9,5,23,11,13,12,4,14,15,2,1,21,24
201,39153,10,15,8,19,2,11,12,5,20,1,22,4,13,9,14
202,39156,5,14,23,19,24,10,17,11,1,21,22,13,16,3,18
203,39160,24,2,4,5,12,13,1,3,23,18,6,7,25,14,17
204,39163,8,25,16,17,23,22,5,15,4,7,24,2,14,3,11
205,39167,21,4,18,12,22,10,2,16,17,11,3,15,25,14,9
206,39170,22,9,5,16,15,3,13,8,21,2,12,17,11,20,14
207,39174,4,12,6,1,15,10,19,3,14,9,17,2,13,22,20
208,39177,24,19,16,7,3,12,23,6,9,10,4,1,14,11,15
209,39181,24,1,19,22,25,3,10,15,14,6,5,18,21,7,9
210,39184,15,16,7,14,18,22,10,13,23,11,3,24,9,21,5
211,39188,17,1,10,12,2,6,8,4,24,18,14,22,11,16,25
212,39191,16,6,19,22,3,1,20,11,10,14,8,23,4,9,12
213,39195,16,1,10,21,5,4,9,23,8,3,24,25,11,18,19
214,39198,2,14,4,18,9,24,11,1,13,19,3,22,25,20,15
215,39202,17,15,3,12,25,9,19,23,11,4,7,14,5,18,1
216,39205,11,9,17,13,21,6,4,25,24,5,3,7,19,2,10
217,39209,6,16,4,5,12,19,11,25,10,21,7,2,9,17,3
218,39212,21,25,15,17,11,22,2,16,8,13,14,12,5,20,7
219,39216,19,24,3,22,2,17,11,18,25,16,23,8,9,14,6
220,39219,21,16,5,25,13,23,24,10,20,18,14,9,15,12,17
221,39223,6,1,17,7,21,12,3,23,16,20,2,8,19,10,25
222,39226,5,15,21,4,23,12,7,8,24,22,6,18,1,3,9
223,39230,9,23,14,22,2,24,11,7,10,13,16,21,4,12,20
224,39233,24,9,8,4,19,11,21,13,18,20,15,23,10,6,12
225,39237,15,25,8,1,23,3,5,13,2,19,14,20,22,7,18
226,39241,20,5,19,14,13,10,8,15,17,21,18,4,16,11,25
227,39244,10,18,20,21,5,17,14,12,19,7,22,15,9,1,8
228,39247,14,15,19,17,11,4,20,16,13,25,12,24,18,2,10
229,39251,9,6,25,15,20,12,16,14,11,10,17,23,8,13,2
230,39254,6,1,4,24,17,22,8,11,2,5,15,13,14,3,10
231,39258,24,17,19,12,21,1,5,18,10,2,7,15,25,6,16
232,39261,11,24,21,23,14,25,16,13,12,4,5,17,6,9,18
233,39265,1,14,7,3,13,2,6,8,12,5,21,17,9,19,4
234,39268,11,14,1,5,2,12,3,4,13,17,24,9,15,21,22
235,39272,21,13,24,14,18,17,8,16,12,23,19,15,1,25,10
236,39275,1,13,3,22,25,23,5,16,4,9,12,15,8,7,21
237,39279,13,12,7,6,5,19,23,16,4,20,22,9,18,15,21
238,39282,11,17,19,24,20,13,6,21,4,12,1,14,23,15,3
239,39286,7,13,9,14,25,15,10,22,1,23,16,3,6,19,5
240,39289,2,10,9,23,19,15,1,13,22,4,11,18,14,16,21
241,39293,14,5,23,24,13,15,21,8,12,9,25,4,17,20,3
242,39296,13,2,21,19,8,15,17,6,22,14,9,16,18,23,5
243,39300,5,3,13,25,7,23,16,21,18,1,20,4,2,12,17
244,39303,6,12,10,24,11,7,18,15,3,22,5,14,20,21,9
245,39307,11,24,10,19,18,12,14,25,1,9,2,15,6,7,16
246,39310,8,7,25,24,1,5,9,21,18,15,17,12,10,4,13
247,39314,1,22,7,8,14,4,2,25,3,17,15,16,23,19,9
248,39317,25,10,12,8,5,2,11,20,21,1,16,19,9,13,15
249,39321,23,5,21,14,18,12,7,15,8,4,25,9,22,17,10
250,39324,19,13,2,5,23,9,3,10,15,17,16,18,21,12,1
251,39328,21,13,19,15,23,18,22,9,4,25,16,10,3,5,6
252,39331,2,6,18,25,15,11,24,23,3,22,17,4,19,14,8
253,39335,22,4,19,5,21,23,6,1,18,11,12,15,8,13,7
254,39338,20,2,23,6,5,14,15,9,8,3,7,11,16,13,4
255,39342,17,3,4,1,2,14,15,10,9,16,22,24,6,21,23
256,39345,1,12,10,9,16,8,18,20,7,2,6,22,13,15,24
257,39349,22,10,12,9,7,18,13,6,1,16,3,24,14,17,19
258,39352,13,20,12,4,2,25,22,24,19,21,9,6,14,5,17
259,39356,10,25,18,15,6,21,22,20,7,3,8,9,24,19,5
260,39359,24,11,5,19,7,20,9,18,14,3,13,8,1,6,4
261,39363,4,2,16,15,25,6,11,21,5,17,19,20,7,13,1
262,39366,8,21,12,20,3,14,13,7,9,24,15,23,4,17,6
263,39370,23,19,8,15,16,11,7,21,24,9,10,1,18,4,14
264,39373,8,3,25,6,22,9,13,23,20,4,16,19,1,12,21
265,39377,7,12,22,5,19,11,18,8,13,16,17,24,1,20,15
266,39380,18,21,3,19,4,14,24,22,5,6,7,9,11,1,15
267,39384,15,11,23,9,12,6,14,13,17,24,21,2,5,4,3
268,39387,25,23,8,15,9,16,20,12,7,18,6,19,5,10,14
269,39391,22,2,1,4,13,15,18,19,24,23,10,16,17,6,14
270,39394,16,1,14,5,9,18,8,3,6,25,7,19,23,4,24
271,39398,19,11,5,16,24,20,25,6,4,12,8,1,21,2,18
272,39402,25,15,12,1,4,9,13,24,8,17,5,20,11,23,2
273,39405,16,5,21,7,12,20,1,15,24,18,25,10,19,17,6
274,39408,15,25,5,23,10,2,7,12,17,14,11,21,6,20,4
275,39412,6,9,12,22,1,10,15,5,14,17,20,3,18,11,8
276,39415,2,7,17,5,18,12,22,3,25,13,20,4,11,19,10
277,39419,16,24,13,2,17,10,9,11,21,4,23,14,25,22,12
278,39422,12,9,2,3,21,19,1,23,5,15,11,17,13,6,25
279,39426,12,10,3,17,18,6,5,23,1,2,22,19,11,9,13
280,39429,9,25,20,10,19,24,5,13,16,3,17,11,6,15,4
281,39433,4,1,10,23,12,2,25,17,19,8,11,9,14,3,15
282,39436,25,7,3,21,11,20,16,13,8,4,15,12,19,22,2
283,39438,24,22,10,13,4,20,6,1,11,9,23,12,8,2,19
284,39443,23,5,22,7,21,12,25,13,1,11,15,17,3,6,19
285,39445,11,16,8,10,14,1,4,5,15,22,9,12,19,13,23
286,39450,25,1,23,21,7,4,11,9,12,2,13,10,24,19,3
287,39454,15,21,6,23,2,10,22,25,7,17,16,5,18,13,12
288,39457,18,15,6,19,2,10,3,14,25,9,24,1,4,13,12
289,39461,4,8,1,3,10,19,2,14,6,9,17,15,12,24,22
290,39464,17,9,13,2,23,14,11,20,22,7,6,12,1,21,5
291,39468,14,8,15,10,1,5,17,24,2,12,7,13,23,20,11
292,39471,21,3,24,7,17,5,2,11,13,9,22,12,25,16,8
293,39475,14,12,3,9,25,22,13,24,2,6,1,23,18,15,19
294,39478,11,16,24,4,20,2,1,5,7,3,8,12,15,23,25
295,39485,25,24,6,23,15,10,3,21,13,18,2,4,19,17,16
296,39489,16,18,14,6,22,11,15,19,2,25,7,3,12,8,17
297,39492,23,10,25,24,1,21,15,9,8,16,4,22,14,7,12
298,39496,1,6,7,16,4,24,21,8,13,3,11,15,14,12,22
299,39499,10,20,3,24,23,6,17,8,22,13,7,5,19,18,21
300,39503,7,21,9,4,11,23,19,17,3,12,8,25,20,15,22
301,39506,2,9,11,3,17,13,12,19,20,15,22,23,18,8,14
302,39510,18,20,9,6,11,25,2,16,15,14,4,22,12,10,5
303,39513,6,22,18,21,12,24,23,20,15,17,2,8,3,16,4
304,39517,1,15,22,16,14,4,18,17,12,21,20,25,5,3,19
305,39520,20,10,25,4,3,18,22,21,2,8,11,12,5,24,13
306,39524,25,5,13,4,2,8,20,1,11,16,18,12,14,15,19
307,39527,20,9,12,14,23,17,21,24,19,1,3,10,15,4,6
308,39531,23,1,21,16,24,19,5,25,12,13,22,4,18,2,15
309,39534,3,13,22,10,16,21,1,9,14,20,4,8,17,24,2
310,39538,11,14,21,10,3,24,18,19,9,15,23,16,5,2,17
311,39541,23,5,24,12,17,10,25,2,14,16,20,19,15,7,4
312,39545,22,8,9,18,2,17,10,19,1,16,25,11,13,12,6
313,39548,7,6,14,23,17,12,15,19,10,16,9,25,2,3,18
314,39552,21,5,11,1,8,19,2,22,9,20,6,12,14,13,15
315,39555,16,13,11,23,5,6,21,17,8,2,24,3,20,14,19
316,39560,8,19,6,14,4,3,24,23,1,13,12,15,10,18,7
317,39562,21,5,8,4,11,1,22,2,25,14,18,16,9,24,19
318,39566,11,21,12,14,6,4,16,15,13,25,5,3,18,23,9
319,39570,14,24,6,9,4,8,3,16,23,1,19,10,20,12,17
320,39573,19,15,12,17,11,18,1,25,3,22,9,21,14,6,23
321,39576,17,20,12,25,9,24,14,3,10,2,4,13,11,16,18
322,39580,1,12,13,2,16,23,3,7,5,20,17,18,15,24,21
323,39583,4,17,2,21,14,1,3,20,6,7,10,25,23,9,19
324,39587,21,10,2,23,8,1,24,16,6,4,7,12,9,3,20
325,39591,25,10,22,20,23,5,4,6,2,14,24,19,7,15,1
326,39594,25,7,24,6,15,13,12,10,1,18,8,11,4,17,2
327,39597,19,8,4,14,3,16,1,15,13,12,17,21,23,2,18
328,39601,13,2,25,23,19,11,12,22,18,24,4,5,3,15,21
329,39604,18,21,8,20,24,9,1,14,4,23,25,3,17,2,13
330,39608,15,19,24,25,2,12,14,5,9,22,23,1,18,17,6
331,39611,16,15,13,19,5,23,3,18,1,7,6,22,21,25,12
332,39615,3,2,11,21,20,12,6,5,19,7,23,24,14,10,25
333,39618,16,2,13,25,9,14,1,6,21,15,5,23,18,12,11
334,39622,17,8,13,15,11,22,21,6,1,2,18,23,25,7,16
335,39625,16,14,21,9,6,17,8,3,20,19,1,12,11,7,4
336,39629,10,15,16,11,3,25,1,14,19,5,22,2,17,6,8
337,39632,3,11,7,8,23,4,19,16,9,5,1,18,22,10,12
338,39636,16,4,7,19,9,3,5,21,20,15,25,17,6,14,12
339,39639,13,19,1,23,18,16,15,5,22,20,24,21,8,2,10
340,39643,14,4,19,2,8,21,20,25,11,10,6,9,5,22,3
341,39646,20,5,21,12,11,7,16,19,18,13,22,1,25,24,9
342,39650,8,3,11,25,23,12,21,15,1,4,20,13,16,19,22
343,39653,20,15,11,25,6,8,18,12,13,16,14,19,22,3,5
344,39657,11,16,9,20,25,24,5,3,12,10,15,13,4,21,6
345,39660,23,25,9,24,20,2,12,16,19,14,15,7,18,11,21
346,39664,14,10,23,5,12,6,8,17,24,18,15,2,1,21,3
347,39667,15,24,19,3,18,14,25,12,20,9,10,11,5,8,7
348,39671,14,8,20,19,12,25,1,7,18,24,2,17,5,22,21
349,39674,7,8,17,20,22,12,1,16,2,19,25,24,5,14,18
350,39678,23,9,1,14,13,7,15,4,25,22,12,8,6,2,3
351,39681,7,1,12,3,24,18,23,5,19,2,14,11,10,17,16
352,39685,3,1,15,13,6,20,17,24,19,2,12,22,4,9,18
353,39688,18,23,19,8,12,2,9,11,3,21,22,20,13,17,7
354,39692,23,22,9,10,8,19,17,12,1,2,18,21,4,16,7
355,39695,12,11,23,13,8,4,19,25,18,7,10,6,9,15,2
356,39699,13,10,2,24,5,16,15,11,14,19,9,4,25,22,20
357,39702,17,10,6,23,21,5,8,9,14,2,19,1,13,11,25
358,39706,25,16,17,11,14,18,12,23,24,4,15,2,10,6,9
359,39709,22,21,12,4,25,13,8,24,16,11,7,17,19,18,10
360,39713,5,17,18,2,11,8,4,19,20,1,3,24,9,23,7
361,39716,9,1,20,12,7,10,14,24,19,23,13,4,17,16,15
362,39720,10,23,4,13,22,6,3,18,1,2,24,12,5,7,17
363,39723,22,23,16,3,8,6,17,2,4,9,13,11,15,20,21
364,39727,2,9,6,15,19,21,12,11,7,20,22,13,24,3,4
365,39730,11,12,4,8,19,5,15,20,23,16,3,24,25,18,10
366,39734,23,6,22,11,15,21,13,5,8,3,17,9,20,18,25
367,39737,15,21,13,20,18,22,12,7,1,17,2,8,4,9,24
368,39741,6,13,22,5,2,3,24,14,11,21,20,15,19,17,4
369,39744,24,9,12,5,15,3,23,11,6,21,1,7,14,22,20
370,39748,14,17,11,3,7,12,19,4,9,10,16,23,6,25,8
371,39751,1,16,2,8,3,13,22,7,10,5,14,6,15,25,9
372,39755,19,12,23,10,24,14,16,6,22,25,17,13,3,4,5
373,39758,19,20,11,22,4,17,14,13,9,23,2,15,12,21,6
374,39762,21,3,25,24,16,9,6,18,20,23,13,12,22,2,1
375,39765,1,5,16,10,25,2,14,13,11,18,7,19,12,17,20
376,39769,12,24,3,14,8,20,16,10,18,22,13,21,25,15,2
377,39772,22,11,12,15,4,3,1,8,2,7,17,9,13,19,20
378,39776,24,2,25,13,16,14,6,23,12,4,15,21,3,22,19
379,39779,21,7,14,17,16,13,4,22,5,3,12,25,18,11,10
380,39783,8,7,14,9,25,6,23,10,4,17,18,22,3,11,2
381,39786,3,7,13,19,25,15,6,12,17,4,10,22,21,9,1
382,39790,10,15,11,3,24,8,12,2,4,14,22,21,7,9,16
383,39793,24,22,11,16,15,7,9,23,18,6,5,14,25,12,3
384,39797,17,19,13,22,7,11,25,4,1,15,18,3,21,10,20
385,39800,4,5,8,12,20,23,25,6,13,15,18,1,24,22,2
386,39804,23,15,11,21,19,3,7,6,9,1,18,20,25,2,4
387,39808,23,12,11,14,19,15,21,9,4,22,8,2,20,3,10
388,39811,1,7,21,15,16,9,11,6,10,20,5,17,3,18,2
389,39815,19,23,2,12,3,9,24,4,17,5,10,25,13,6,18
390,39818,12,25,21,5,7,22,19,2,20,13,14,10,11,15,24
391,39821,21,18,25,16,6,15,4,23,13,12,3,1,9,22,8
392,39825,1,23,2,18,20,3,17,21,11,25,15,10,4,14,12
393,39828,4,8,23,17,3,21,22,20,18,1,25,6,7,10,11
394,39832,6,14,12,13,2,22,16,20,18,7,24,21,8,23,5
